Round Number,Date,Location,Home Team,Away Team,Result
1,18/09/2020 18:30,Allianz Arena,Bayern Munich,Schalke 04,8 - 0
1,19/09/2020 13:30,Deutsche Bank Park,Ein Frankfurt,Bielefeld,01-éðå
1,19/09/2020 13:30,An der Alten FÃ¶rsterei,Union Berlin,Augsburg,01-îøõ
1,19/09/2020 13:30,RheinEnergieSTADION,FC Koln,Hoffenheim,02-îøõ
1,19/09/2020 13:30,wohninvest WESERSTADION,Werder Bremen,Hertha,01-àôø
1,19/09/2020 13:30,Mercedes-Benz Arena,Stuttgart,Freiburg,02-îøõ
1,19/09/2020 16:30,SIGNAL IDUNA PARK,Dortmund,M'gladbach,3 - 0
1,20/09/2020 13:30,Red Bull Arena,RB Leipzig,Mainz,03-éðå
1,20/09/2020 16:00,Volkswagen Arena,Wolfsburg,Leverkusen,0 - 0
2,25/09/2020 18:30,Olympiastadion,Hertha,Ein Frankfurt,01-îøõ
2,26/09/2020 13:30,BORUSSIA-PARK,M'gladbach,Union Berlin,01-éðå
2,26/09/2020 13:30,BayArena,Leverkusen,RB Leipzig,01-éðå
2,26/09/2020 13:30,OPEL ARENA,Mainz,Stuttgart,01-àôø
2,26/09/2020 13:30,WWK ARENA,Augsburg,Dortmund,2 - 0
2,26/09/2020 13:30,SchÃ¼coArena,Bielefeld,FC Koln,1 - 0
2,26/09/2020 16:30,VELTINS-Arena,Schalke 04,Werder Bremen,01-îøõ
2,27/09/2020 13:30,PreZero Arena,Hoffenheim,Bayern Munich,04-éðå
2,27/09/2020 16:00,Schwarzwald-Stadion,Freiburg,Wolfsburg,01-éðå
3,02/10/2020 18:30,An der Alten FÃ¶rsterei,Union Berlin,Mainz,4 - 0
3,03/10/2020 13:30,SIGNAL IDUNA PARK,Dortmund,Freiburg,4 - 0
3,03/10/2020 13:30,Deutsche Bank Park,Ein Frankfurt,Hoffenheim,02-éðå
3,03/10/2020 13:30,RheinEnergieSTADION,FC Koln,M'gladbach,01-îøõ
3,03/10/2020 13:30,wohninvest WESERSTADION,Werder Bremen,Bielefeld,1 - 0
3,03/10/2020 13:30,Mercedes-Benz Arena,Stuttgart,Leverkusen,01-éðå
3,03/10/2020 16:30,Red Bull Arena,RB Leipzig,Schalke 04,4 - 0
3,04/10/2020 13:30,Volkswagen Arena,Wolfsburg,Augsburg,0 - 0
3,04/10/2020 16:00,Allianz Arena,Bayern Munich,Hertha,04-îøõ
4,17/10/2020 13:30,PreZero Arena,Hoffenheim,Dortmund,0 - 1
4,17/10/2020 13:30,Schwarzwald-Stadion,Freiburg,Werder Bremen,01-éðå
