Round Number,Date,Location,Home Team,Away Team,Result
1,12/09/2020 14:00,Municipal de Ipurua,Elche,Celta,0 - 0
1,12/09/2020 16:30,Nuevo Los C√°rmenes,Granada,Ath Bilbao,2 - 0
1,12/09/2020 19:00,Ram√≥n de Carranza,Cadiz,Osasuna,0 - 2
1,13/09/2020 12:00,Mendizorroza,Alaves,Betis,0 - 1
1,13/09/2020 14:00,Estadio Municipal Jos√© Zorrilla,Valladolid,Sociedad,01-ÈÂ
1,13/09/2020 16:30,Estadio de la Cer√°mica,Villarreal,Huesca,01-ÈÂ
1,13/09/2020 19:00,Camp de Mestalla,Valencia,Levante,04-Ù·¯
2,19/09/2020 14:00,Estadio de la Cer√°mica,Villarreal,Elche,02-ÈÂ
2,19/09/2020 16:30,Coliseum Alfonso P√©rez,Getafe,Osasuna,1 - 0
2,19/09/2020 19:00,Estadio Abanca Bala√≠dos,Celta,Valencia,02-ÈÂ
2,20/09/2020 14:00,El Alcoraz,Huesca,Cadiz,0 - 2
2,20/09/2020 16:30,Nuevo Los C√°rmenes,Granada,Alaves,02-ÈÂ
2,20/09/2020 16:30,Estadio Benito Villamar√≠n,Betis,Valladolid,2 - 0
2,20/09/2020 19:00,Reale Arena,Sociedad,Real Madrid,0 - 0
3,26/09/2020 11:00,Mendizorroza,Alaves,Getafe,0 - 0
3,26/09/2020 14:00,Camp de Mestalla,Valencia,Huesca,01-ÈÂ
3,26/09/2020 16:30,Estadio Mart√≠nez Valero,Elche,Sociedad,0 - 3
3,26/09/2020 19:00,Estadio Benito Villamar√≠n,Betis,Real Madrid,02-Ó¯ı
3,27/09/2020 10:00,Estadio El Sadar,Osasuna,Levante,01-Ó¯ı
3,27/09/2020 12:00,Municipal de Ipurua,Elche,Ath Bilbao,01-Ù·¯
3,27/09/2020 14:00,Wanda Metropolitano,Ath Madrid,Granada,06-ÈÂ
3,27/09/2020 16:30,Ram√≥n de Carranza,Cadiz,Sevilla,01-Ó¯ı
3,27/09/2020 16:30,Estadio Municipal Jos√© Zorrilla,Valladolid,Celta,01-ÈÂ
3,27/09/2020 19:00,Camp Nou,Barcelona,Villarreal,4 - 0
4,29/09/2020 17:00,Reale Arena,Sociedad,Valencia,0 - 1
4,29/09/2020 19:30,Coliseum Alfonso P√©rez,Getafe,Betis,3 - 0
4,30/09/2020 17:00,El Alcoraz,Huesca,Ath Madrid,0 - 0
4,30/09/2020 17:00,Estadio de la Cer√°mica,Villarreal,Alaves,03-ÈÂ
4,30/09/2020 19:30,Municipal de Ipurua,Elche,Elche,0 - 1
4,30/09/2020 19:30,Estadio Alfredo Di St√©fano,Real Madrid,Valladolid,1 - 0
4,01/10/2020 17:00,Estadio San Mam√©s,Ath Bilbao,Cadiz,0 - 1
4,01/10/2020 17:00,Ram√≥n S√°nchez-Pizju√°n,Sevilla,Levante,1 - 0
4,01/10/2020 19:30,Estadio Abanca Bala√≠dos,Celta,Barcelona,0 - 3
5,03/10/2020 11:00,Estadio Municipal Jos√© Zorrilla,Valladolid,Elche,01-Ù·¯
5,03/10/2020 14:00,Wanda Metropolitano,Ath Madrid,Villarreal,0 - 0
5,03/10/2020 16:30,Reale Arena,Sociedad,Getafe,3 - 0
