Round Number,Date,Location,Home Team,Away Team,Result
1,21/08/2020 19:00,Matmut Atlantique,Bordeaux,Nantes,0 - 0
1,22/08/2020 17:00,Stade Gaston GÃ©rard,Dijon,Angers,0 - 1
1,22/08/2020 21:00,Stade Pierre-Mauroy,Lille,Rennes,01-éðå
1,23/08/2020 13:00,Stade Louis II,Monaco,Reims,02-ôáø
1,23/08/2020 15:00,Stade du Moustoir,Lorient,Strasbourg,03-éðå
1,23/08/2020 15:00,Stade des CostiÃ¨res,Nimes,Brest,4 - 0
1,23/08/2020 17:00,Allianz Riviera,Nice,Lens,02-éðå
2,28/08/2020 21:00,Groupama Stadium,Lyon,Dijon,04-éðå
2,29/08/2020 17:00,Roazhon Park,Rennes,Montpellier,02-éðå
2,29/08/2020 21:00,Stade de la Meinau,Strasbourg,Nice,0 - 2
2,30/08/2020 13:00,Stade Auguste Delaune,Reims,Lille,0 - 1
2,30/08/2020 15:00,Stade Raymond Kopa,Angers,Bordeaux,0 - 2
2,30/08/2020 15:00,Stade Saint-Symphorien,Metz,Monaco,0 - 1
2,30/08/2020 15:00,Stade de la Beaujoire,Nantes,Nimes,02-éðå
2,30/08/2020 15:00,Stade Geoffroy-Guichard,St Etienne,Lorient,2 - 0
2,30/08/2020 21:00,Stade Francis-Le BlÃ©,Brest,Marseille,02-îøõ
3,10/09/2020 21:00,Stade Bollaert-Delelis,Lens,Paris SG,1 - 0
3,11/09/2020 21:00,Matmut Atlantique,Bordeaux,Lyon,0 - 0
3,12/09/2020 17:00,Stade de la Mosson,Montpellier,Nice,03-éðå
3,12/09/2020 21:00,Stade Geoffroy-Guichard,St Etienne,Strasbourg,2 - 0
3,13/09/2020 13:00,Stade Pierre-Mauroy,Lille,Metz,1 - 0
3,13/09/2020 15:00,Stade Raymond Kopa,Angers,Reims,1 - 0
3,13/09/2020 15:00,Stade Gaston GÃ©rard,Dijon,Brest,0 - 2
3,13/09/2020 15:00,Stade du Moustoir,Lorient,Lens,02-îøõ
3,13/09/2020 15:00,Stade des CostiÃ¨res,Nimes,Rennes,02-àôø
3,13/09/2020 17:00,Stade Louis II,Monaco,Nantes,02-éðå
3,13/09/2020 21:00,Parc des Princes,Paris SG,Marseille,0 - 1
4,15/09/2020 21:00,Stade de la Mosson,Montpellier,Lyon,02-éðå
4,16/09/2020 21:00,Parc des Princes,Paris SG,Metz,1 - 0
4,17/09/2020 21:00,Orange VÃ©lodrome,Marseille,St Etienne,0 - 2
4,18/09/2020 21:00,Groupama Stadium,Lyon,Nimes,0 - 0
4,19/09/2020 17:00,Stade Bollaert-Delelis,Lens,Bordeaux,02-éðå
4,19/09/2020 21:00,Roazhon Park,Rennes,Monaco,02-éðå
4,20/09/2020 13:00,Allianz Riviera,Nice,Paris SG,0 - 3
4,20/09/2020 15:00,Stade Francis-Le BlÃ©,Brest,Lorient,03-ôáø
4,20/09/2020 15:00,Stade Saint-Symphorien,Metz,Reims,02-éðå
4,20/09/2020 15:00,Stade de la Mosson,Montpellier,Angers,04-éðå
4,20/09/2020 15:00,Stade de la Meinau,Strasbourg,Dijon,1 - 0
4,20/09/2020 17:00,Stade de la Beaujoire,Nantes,St Etienne,02-ôáø
4,20/09/2020 21:00,Orange VÃ©lodrome,Marseille,Lille,01-éðå
5,25/09/2020 21:00,Stade Pierre-Mauroy,Lille,Nantes,2 - 0
