Round Number,Date,Location,Home Team,Away Team,Result
1,19/09/2020 18:00,Artemio Franchi,Fiorentina,Torino,1 - 0
1,19/09/2020 20:45,Marcantonio Bentegodi,Verona,Roma,0 - 0
1,20/09/2020 12:30,Ennio Tardini,Parma,Napoli,0 - 2
1,20/09/2020 15:00,Luigi Ferraris,Genoa,Crotone,04-ינו
1,20/09/2020 18:00,Mapei Stadium,Sassuolo,Cagliari,01-ינו
1,20/09/2020 20:45,Allianz Stadium,Juventus,Sampdoria,3 - 0
1,21/09/2020 20:45,Giuseppe Meazza,Milan,Bologna,2 - 0
2,26/09/2020 15:00,Olimpico Grande Torino,Torino,Atalanta,02-אפר
2,26/09/2020 18:00,Sardegna Arena,Cagliari,Lazio,0 - 2
2,26/09/2020 18:00,Luigi Ferraris,Sampdoria,Benevento,02-מרץ
2,26/09/2020 20:45,Giuseppe Meazza,Inter,Fiorentina,04-מרץ
2,27/09/2020 12:30,Orogel Stadium,Spezia,Sassuolo,01-אפר
2,27/09/2020 15:00,Marcantonio Bentegodi,Verona,Udinese,1 - 0
2,27/09/2020 18:00,Diego Armando Maradona,Napoli,Genoa,6 - 0
2,27/09/2020 18:00,Ezio Scida,Crotone,Milan,0 - 2
2,27/09/2020 20:45,Olimpico,Roma,Juventus,02-פבר
2,28/09/2020 20:45,Renato Dall'Ara,Bologna,Parma,04-ינו
2,30/09/2020 18:00,Ciro Vigorito,Benevento,Inter,02-מאי
2,30/09/2020 18:00,Stadio Friuli,Udinese,Spezia,0 - 2
2,30/09/2020 20:45,Olimpico,Lazio,Atalanta,01-אפר
3,02/10/2020 20:45,Artemio Franchi,Fiorentina,Sampdoria,01-פבר
3,03/10/2020 15:00,Mapei Stadium,Sassuolo,Crotone,04-ינו
3,03/10/2020 20:45,Stadio Friuli,Udinese,Roma,0 - 1
3,04/10/2020 12:30,Gewiss Stadium,Atalanta,Cagliari,05-פבר
3,04/10/2020 15:00,Ciro Vigorito,Benevento,Bologna,1 - 0
3,04/10/2020 15:00,Olimpico,Lazio,Inter,01-ינו
3,04/10/2020 15:00,Ennio Tardini,Parma,Verona,1 - 0
3,04/10/2020 18:00,Giuseppe Meazza,Milan,Spezia,3 - 0
3,04/10/2020 20:45,Allianz Stadium,Juventus,Napoli,
4,17/10/2020 15:00,Diego Armando Maradona,Napoli,Atalanta,04-ינו
4,17/10/2020 18:00,Giuseppe Meazza,Inter,Milan,01-פבר
4,17/10/2020 18:00,Luigi Ferraris,Sampdoria,Lazio,3 - 0
4,17/10/2020 20:45,Ezio Scida,Crotone,Juventus,01-ינו
4,18/10/2020 12:30,Renato Dall'Ara,Bologna,Sassuolo,03-אפר
4,18/10/2020 15:00,Orogel Stadium,Spezia,Fiorentina,02-פבר
4,18/10/2020 15:00,Olimpico Grande Torino,Torino,Cagliari,02-מרץ
4,18/10/2020 18:00,Stadio Friuli,Udinese,Parma,03-פבר
4,18/10/2020 20:45,Olimpico,Roma,Benevento,05-פבר
4,19/10/2020 20:45,Marcantonio Bentegodi,Verona,Genoa,0 - 0
5,23/10/2020 20:45,Mapei Stadium,Sassuolo,Torino,03-מרץ
5,24/10/2020 15:00,Gewiss Stadium,Atalanta,Sampdoria,01-מרץ
5,24/10/2020 18:00,Luigi Ferraris,Genoa,Inter,0 - 2
5,25/10/2020 12:30,Sardegna Arena,Cagliari,Crotone,04-פבר
5,25/10/2020 12:30,Olimpico,Lazio,Bologna,02-ינו
5,25/10/2020 15:00,Ciro Vigorito,Benevento,Napoli,01-פבר
5,25/10/2020 15:00,Ennio Tardini,Parma,Spezia,02-פבר
5,25/10/2020 18:00,Artemio Franchi,Fiorentina,Udinese,03-פבר
5,25/10/2020 20:45,Allianz Stadium,Juventus,Verona,01-ינו
5,26/10/2020 20:45,Giuseppe Meazza,Milan,Roma,03-מרץ
6,31/10/2020 15:00,Ezio Scida,Crotone,Atalanta,01-פבר
6,31/10/2020 18:00,Giuseppe Meazza,Inter,Parma,02-פבר
6,31/10/2020 20:45,Renato Dall'Ara,Bologna,Cagliari,03-פבר
6,01/11/2020 12:30,Stadio Friuli,Udinese,Milan,01-פבר
6,01/11/2020 15:00,Orogel Stadium,Spezia,Juventus,01-אפר
6,01/11/2020 15:00,Olimpico Grande Torino,Torino,Lazio,03-אפר
6,01/11/2020 18:00,Diego Armando Maradona,Napoli,Sassuolo,0 - 2
6,01/11/2020 18:00,Olimpico,Roma,Fiorentina,2 - 0
6,01/11/2020 20:45,Luigi Ferraris,Sampdoria,Genoa,01-ינו
6,02/11/2020 20:45,Marcantonio Bentegodi,Verona,Benevento,03-ינו
6,04/11/2020 17:00,Luigi Ferraris,Genoa,Torino,01-פבר
7,06/11/2020 20:45,Mapei Stadium,Sassuolo,Udinese,0 - 0
